#,Country,Continent,Co2_Emiss_Tons,Population,LifeExpectancy
135,Zambia,Africa,4230584,16363458,62.464
136,South Sudan,Africa,4038496,10832518,57.12
137,Iceland,Europe,3923884,332206,82.601
138,Namibia,Africa,3901830,2358044,62.625
139,Guyana,South America,3253057,771368,69.454
140,Mauritius,Africa,3192307,1261865,74.626
141,Macao,Asia,3106518,612836,83.854
142,Haiti,North America,3086897,10839970,62.896
143,Madagascar,Africa,3026047,24894370,65.931
144,Martinique,North America,2715477,376791,81.962
145,Mauritania,Africa,2564345,4163533,64.208
146,Guadeloupe,North America,2478038,399763,81.469
147,Burkina Faso,Africa,2352070,18646357,60.354
148,New Caledonia,Oceania,2338717,274191,77.014
149,Togo,Africa,2321546,7509951,60.22
150,Malta,Europe,2257870,436097,82.063
151,Equatorial Guinea,Africa,2156371,1215180,57.713
152,Suriname,South America,2152933,564888,71.358
153,Niger,Africa,2088475,20788798,61.137
154,Guinea,Africa,2071798,11738429,60.17
155,Malawi,Africa,1815598,17205261,62.681
156,Fiji,Oceania,1703193,872399,67.175
157,Bhutan,Asia,1682100,736708,70.781
158,Chad,Africa,1670941,14561660,53.438
159,Mali,Africa,1606421,17965443,57.987
160,Barbados,North America,1541447,285796,78.888
161,Djibouti,Africa,1508851,929112,65.064
162,French Guiana,South America,1473719,267821,79.642
163,Rwanda,Africa,1403087,11668827,67.93
164,Sierra Leone,Africa,1272332,7328834,53.444
165,Somalia,Africa,1268442,14185636,56.324
166,Maldives,Asia,1233015,475512,78.013
167,Réunion,Africa,1132331,869743,79.899
168,Belize,North America,1114105,368400,74.219
169,Burundi,Africa,1093618,10487995,60.528
170,French Polynesia,Oceania,1003249,274575,77.024
171,Liberia,Africa,846658,4586787,62.802
172,Puerto Rico,North America,712758,3283125,79.664
173,Eritrea,Africa,684140,3376557,65.111
174,Eswatini,Africa,657572,1113997,56.962
175,Bermuda,North America,639352,63362,82.163
176,Saint Lucia,North America,608182,180024,75.752
177,Gibraltar,Europe,572708,33737,79.485
178,Grenada,North America,554848,110261,72.408
179,Central African Republic,Africa,543229,4537686,51.593
180,Seychelles,Africa,519693,95710,73.226
181,Timor-Leste,Asia,495687,1219288,68.735
182,Antigua and Barbuda,North America,438763,94527,76.617
183,Cayman Islands,North America,406057,62569,83.48
184,St. Vincent & Grenadines,North America,362414,109459,72.193
185,Solomon Islands,Oceania,341748,619438,72.424
186,Guinea-Bissau,Africa,318706,1782438,57.328
187,Lesotho,Africa,318438,2075030,52.059
188,Aruba,North America,286871,104872,75.868
189,Gambia,Africa,254127,2149136,61.166
190,Tonga,Oceania,251375,101133,70.607
191,Western Sahara,Africa,207592,538749,69.496
192,Saint Kitts & Nevis,North America,203036,51625,75.73
193,Dominica,North America,185767,71307,74.384
194,Samoa,Oceania,169939,194535,72.895
195,Vanuatu,Oceania,137706,278330,70.021
196,Comoros,Africa,108422,795592,63.7
197,British Virgin Islands,North America,99762,29355,78.576
198,Cabo Verde,Africa,99687,531146,72.347
199,Turks and Caicos,North America,65451,36559,79.732
200,Sao Tome & Principe,Africa,56185,203227,69.67
201,Kiribati,Oceania,52818,112524,67.577
202,Falkland Islands,Europe,48568,2928,81.021
203,Palau,Oceania,41732,17725,73.089
204,Cook Islands,Oceania,37354,17524,75.631
205,Anguilla,North America,30262,14429,81.441
206,Saint Helena,Africa,13128,5956,80.251
207,Saint Pierre & Miquelon,North America,8842,5934,80.654
208,Faeroe Islands,South America,1953,48173,80.255
209,Greenland,North America,1530,56412,71.493
210,,,,,
211,,,,,
